DUPLICATE,HAWB,OVERDUE,SUM,VER,RELEASED,ALL CLEAR,LAST IMPORTED,FIRST IMPORTED,FS DEVAN,OF LOCATION,OF DEVAN,OF PIECE COUNT,PIECE COUNT DIFF,FS LOCATION,FS PIECE COUNT,FS PRIMARY LOCATION,CLIENT NAME,RELEASE DATE,CONSIGNEE
False,4831218463,False,False,False,True,False,2021-02-26 08:57:10,2021-02-26 08:57:10,2021-01-21 12:50:00,1255C,21-Jan,8,0,"R12,1255C,,1 (8)",8,1255C,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,3980,False,True,True,False,False,2021-02-26 08:57:10,2021-02-26 08:57:10,N.A.,1253D,6-Dec,30,-30,N.A.,0,N.A.,N.A.,0,0
False,4560285637,False,True,False,True,False,2021-02-26 08:57:10,2021-02-26 08:57:10,2021-01-31 22:40:00,1242C,31-Jan,1,1,"R12,1241C,,1 (2)",2,1241C,EXPEDITORS INT'L - AIR IMPORT,2021-02-01 00:00:00,"APPLIED MATERIALS, I"
False,F1P0564144+0001,False,True,True,False,False,2021-02-26 08:57:11,2021-02-26 08:57:11,N.A.,1238C,29-Jan,1,-1,N.A.,0,N.A.,N.A.,0,0
False,3601,True,True,False,True,False,2021-03-05 00:21:15,2021-02-26 08:57:11,2014-12-30 22:00:00,1239B,1/12/2021,174,-173,"R12,1387C,, (1)",1,136,EXPEDITORS INT'L - AIR IMPORT,2020-03-10 00:00:00,AXIMA USA LLC
False,421313867,True,True,False,True,False,2021-03-05 00:21:18,2021-02-26 08:57:11,2021-01-12 22:37:00,1236-d,1/12/2021,125,-100,"R12,1236C,,1 (25)",25,1236C,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,OLD NAVY LLC
False,417768036,False,False,False,True,False,2021-02-26 08:57:11,2021-02-26 08:57:11,2021-01-20 05:30:00,1228C,20-Jan,16,0,"R12,1228C,,1 (16)",16,1228C,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,417768056+0012,False,True,True,False,False,2021-02-26 08:57:11,2021-02-26 08:57:11,N.A.,1218D,20-Jan,35,-35,N.A.,0,N.A.,N.A.,0,0
False,417768056,False,True,False,True,False,2021-02-26 08:57:11,2021-02-26 08:57:11,2021-01-20 05:30:00,1219D,20-Jan,22,35,"R12,1218/19D,,2 (57)",57,1218/19D,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,"OLD NAVY, LLC"
False,297,False,True,True,False,False,2021-02-26 08:57:12,2021-02-26 08:57:12,N.A.,1212D,29-Jan,1,-1,N.A.,0,N.A.,N.A.,0,0
False,133,False,True,True,False,False,2021-02-26 08:57:12,2021-02-26 08:57:12,N.A.,1364C,9/10/20,80,-80,N.A.,0,N.A.,N.A.,0,0
False,45T0241072,False,True,False,True,False,2021-02-26 08:57:12,2021-02-26 08:57:12,2021-01-20 03:10:00,1368C,20-Jan,10,4,"R12,1368C,1374B,2 (14)",14,1368C,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,9206,False,True,True,False,False,2021-02-26 08:57:12,2021-02-26 08:57:12,N.A.,1374C,1-Jan,1,-1,N.A.,0,N.A.,N.A.,0,0
False,A00005,False,True,True,False,False,2021-02-26 08:57:12,2021-02-26 08:57:12,N.A.,1378C,10/20/20,7,-7,N.A.,0,N.A.,N.A.,0,0
False,H1P0400682+0001,False,True,True,False,False,2021-02-26 08:57:12,2021-02-26 08:57:12,N.A.,1390D,29-Jan,2,-2,N.A.,0,N.A.,N.A.,0,0
False,H1P0400682+0002,False,True,True,False,False,2021-02-26 08:57:13,2021-02-26 08:57:13,N.A.,1391D,29-Jan,2,-2,N.A.,0,N.A.,N.A.,0,0
False,45G0034723+0003,False,True,True,False,False,2021-02-26 08:57:13,2021-02-26 08:57:13,N.A.,1392D,31-Jan,108,-108,N.A.,0,N.A.,N.A.,0,0
False,45G0034723,False,True,False,True,False,2021-02-26 08:57:13,2021-02-26 08:57:13,2021-01-31 19:10:00,1392D,31-Jan,11,324,"R18,392B-D,, (335)",335,392B-D,EXPEDITORS INT'L - AIR IMPORT,2021-02-08 00:00:00,"HP, INC."
False,45G0034723,False,True,False,True,False,2021-02-26 08:57:13,2021-02-26 08:57:13,2021-01-31 19:10:00,1392C,31-Jan,168,167,"R18,392B-D,, (335)",335,392B-D,EXPEDITORS INT'L - AIR IMPORT,2021-02-08 00:00:00,"HP, INC."
False,4913927950,False,True,False,True,False,2021-02-26 08:57:13,2021-02-26 08:57:13,2021-01-31 23:30:00,216D,31-Jan,48,336,"R16,216AD,217D,8 (384)",384,216AD,EXPEDITORS INT'L - AIR IMPORT,2021-02-02 00:00:00,CISCO SYSTEMS INC.
False,4913927950,False,True,False,True,False,2021-02-26 08:57:13,2021-02-26 08:57:13,2021-01-31 23:30:00,217D,31-Jan,48,336,"R16,216AD,217D,8 (384)",384,216AD,EXPEDITORS INT'L - AIR IMPORT,2021-02-02 00:00:00,CISCO SYSTEMS INC.
False,7310,False,True,True,False,False,2021-02-26 08:57:13,2021-02-26 08:57:13,N.A.,012D,19-Jan,32,-32,N.A.,0,N.A.,N.A.,0,0
False,7582,False,True,True,False,False,2021-02-26 08:57:13,2021-02-26 08:57:13,N.A.,010D,19-Jan,16,-16,N.A.,0,N.A.,N.A.,0,0
False,4641089318,True,True,False,True,False,2021-03-05 00:20:31,2021-02-26 09:17:15,2021-01-14 20:00:00,1366A,1/14/2021,15,-12,"R12,1366A,,1 (3)",3,1366A,EXPEDITORS INT'L - AIR IMPORT,2021-01-22 00:00:00,ADIDAS INTERNATIONAL
False,80428439,False,True,True,False,False,2021-03-05 00:20:32,2021-02-26 09:17:15,N.A.,1382A,1/10/2021,55,-55,N.A.,0,N.A.,N.A.,0,0
False,tpalax20b009,False,True,True,False,False,2021-03-05 00:20:33,2021-02-26 09:17:15,N.A.,1363B,11/8/2020,45,-45,N.A.,0,N.A.,N.A.,0,0
False,3615,True,True,False,True,False,2021-03-05 00:20:34,2021-02-26 09:17:15,2020-06-07 10:24:00,1380B,1/13/2021,55,-47,"R12,1266 A,1267AB, (200)",8,1371A,EXPEDITORS INT'L - AIR IMPORT,2015-09-13 00:00:00,"ARROW ELECTRONICS, I"
False,af00057592,True,True,False,True,False,2021-03-05 00:20:35,2021-02-26 09:17:15,2021-01-10 08:00:00,1381B,1/15/2021,5,3,"R12,1233B,1381B, (8)",8,1233B,EXPEDITORS INT'L - AIR IMPORT,2021-02-04 00:00:00,THE GAP INC.
False,f91h347246,False,True,True,False,False,2021-03-05 00:20:36,2021-02-26 09:17:15,N.A.,1376A,11/24/2021,5,-5,N.A.,0,N.A.,N.A.,0,0
False,qxakd309206,False,True,True,False,False,2021-03-05 00:20:37,2021-02-26 09:17:16,N.A.,1374-c,1/1/2020,5,-5,N.A.,0,N.A.,N.A.,0,0
